Diamtrs,Laiks3,Laiks2,Laiks1
1.544,6.88,34.9,42.59
0.46,32.73,24.42,6.28
0.356,23.82,21.47,13.02
1.001,12.35,19.59,44.32
2.095,46.11,33.13,30.96
1.326,46.73,24.2,42.94
1.172,32.29,39.55,20.56
2.857,35.93,49.27,44.03
0.231,4.41,38.98,5.02
0.704,1.99,19.66,11.02
2.01,25.44,51.94,0.93
2.224,47.82,56.09,52.17
1.958,13.91,14.15,18.73
2.099,17.29,47.53,13.1
0.487,35.53,20.86,27.68
2.999,5.85,0.86,47.01
0.617,6.49,6.51,23.98
1.251,31.79,50.88,29.02
2.062,36.68,45.86,56.5
1.318,21.73,2.88,30.66
1.691,1.27,20.49,8.63
1.167,42.3,51.59,38.2
2.591,33.86,53.48,1.73
2.98,44.74,2.0,5.69
2.826,5.43,43.09,29.15
0.373,10.94,2.81,5.74
2.512,13.83,11.39,44.71
2.825,6.58,8.0,37.07
1.831,41.83,8.14,34.5
2.469,18.79,36.39,49.05
0.423,58.89,20.9,14.32
2.739,30.34,40.03,24.51
1.955,4.9,46.04,44.96
1.134,44.54,37.29,31.82
1.76,8.41,1.03,56.13
0.655,18.76,46.82,43.31
2.046,24.23,56.73,5.05
1.057,0.87,43.53,8.15
0.839,32.74,26.2,16.09
2.063,33.81,54.3,59.99
1.417,6.0,2.63,34.66
0.458,4.13,0.43,33.01
2.525,60.0,35.6,59.23
0.552,49.27,49.75,51.5
1.956,1.91,2.47,33.16
0.028,9.35,23.15,16.31
2.801,53.27,16.56,24.65
1.534,3.45,49.44,17.67
2.68,32.36,9.37,45.47
1.263,20.5,26.21,28.99
0.867,50.82,54.94,12.12
1.229,37.71,31.21,49.17
0.276,5.62,46.02,20.07
2.789,54.32,27.97,18.71
1.25,48.62,39.72,11.47
2.339,18.97,47.76,0.91
0.557,2.26,17.93,29.62
0.196,40.68,22.21,20.78
2.316,21.95,48.48,17.18
0.201,39.0,16.97,58.09
2.222,27.33,10.54,18.04
0.262,32.53,8.02,21.43
0.342,10.61,16.4,52.19
2.083,5.79,1.55,36.63
0.423,19.69,5.95,19.03
2.491,4.12,3.04,23.26
2.658,42.7,56.91,21.34
1.536,22.78,52.87,29.14
2.649,49.81,39.76,10.92
1.833,24.36,7.3,32.07
1.868,41.5,24.77,24.22
1.76,9.01,30.42,9.22
2.218,54.85,1.94,20.64
2.478,7.33,30.47,41.04
2.844,31.92,45.94,23.86
1.724,4.35,35.38,7.74
0.031,5.2,39.15,44.86
2.196,13.4,4.12,0.8
0.792,27.11,53.92,17.49
1.553,34.85,17.41,25.98
0.331,59.02,36.13,21.07
1.045,36.61,37.53,46.5
0.857,7.37,20.47,8.33
2.702,46.76,4.43,28.76
2.524,10.56,1.01,43.32
0.665,13.41,19.27,20.56
1.148,20.3,2.66,0.41
1.998,52.64,13.83,26.49
0.366,0.76,16.04,48.23
0.646,54.11,4.53,12.82
2.84,8.34,22.29,37.91
0.987,57.83,39.2,40.4
1.928,4.41,35.94,44.35
1.646,31.51,16.18,36.69
0.028,42.19,31.63,54.51
2.056,52.36,2.58,37.54
0.906,53.04,53.37,3.7
1.705,49.96,23.26,51.22
1.654,55.28,46.22,43.34
1.815,53.96,16.33,46.76
2.655,4.07,13.79,28.74
1.511,6.42,29.14,14.42
2.588,36.67,29.41,7.47
1.496,17.87,56.1,9.99
2.337,26.9,4.15,33.28
0.403,55.35,7.76,18.71
2.877,14.12,55.15,2.15
1.33,11.05,6.38,8.94
2.146,59.1,42.92,55.93
1.737,17.85,17.85,18.93
2.515,40.8,47.16,32.09
0.839,57.2,14.38,32.11
0.645,25.64,31.12,4.74
0.625,12.96,42.64,27.61
2.09,56.99,25.44,36.09
2.369,13.05,11.39,58.29
0.739,58.85,20.01,52.01
2.019,30.77,59.96,56.59
2.292,30.44,18.26,21.56
0.831,25.87,23.45,37.1
1.316,24.04,1.72,26.35
2.341,24.41,21.4,37.1
0.528,1.41,3.8,36.48
1.309,24.97,30.29,36.86
0.292,30.13,14.1,27.76
1.281,47.3,3.06,45.35
2.338,23.56,8.51,34.9
2.881,26.7,23.58,4.66
2.17,5.23,24.11,10.81
1.907,32.98,27.51,36.77
0.612,48.7,31.03,27.13
1.116,34.23,9.6,50.37
2.967,42.04,9.28,55.94
1.763,25.51,48.44,51.33
2.218,50.02,27.01,4.37
2.348,30.36,3.65,15.99
1.724,38.49,37.94,10.99
1.239,13.08,22.47,0.44
0.358,36.29,34.23,14.37
0.79,54.36,9.57,3.11
0.877,46.26,39.72,7.19
2.271,52.44,45.18,16.15
2.032,5.73,28.73,46.39
0.69,56.31,10.67,40.94
1.167,6.84,42.6,22.74
1.706,26.68,11.76,37.0
0.174,54.3,1.08,52.01
2.636,1.78,50.45,58.57
1.555,17.78,0.95,51.47
2.11,17.64,48.57,56.04
1.637,38.51,7.77,5.55
1.191,13.09,7.8,22.7
2.555,15.59,40.14,28.68
0.918,30.17,8.07,20.68
0.939,29.56,7.32,29.11
0.831,50.31,3.39,9.14
0.302,0.64,10.01,13.76
2.515,27.17,8.49,17.37
1.922,25.33,27.51,50.4
1.019,36.64,35.28,28.85
0.352,4.73,10.65,1.82
0.042,35.08,27.32,11.59
2.207,7.32,57.6,5.75
2.346,17.76,33.94,21.27
2.12,18.12,29.96,5.8
0.751,5.39,2.47,24.69
1.602,48.17,21.0,7.6
2.883,35.3,27.82,24.81
1.273,9.13,15.27,25.67
2.686,14.78,22.05,2.16
2.935,28.32,3.92,7.37
1.531,4.71,0.03,9.6
0.073,53.52,24.17,53.49
1.935,50.79,45.68,31.02
0.332,52.83,53.62,6.23
1.542,19.45,17.63,22.09
1.07,52.08,15.22,10.94
0.008,54.41,44.3,59.7
1.486,16.63,39.11,15.56
0.234,46.43,26.17,33.62
2.837,28.5,49.58,1.83
2.361,46.69,56.01,23.87
0.605,20.77,28.01,23.99
0.979,1.49,49.88,4.56
0.569,59.26,3.93,22.58
2.156,47.01,10.6,14.47
2.214,24.85,33.5,39.66
1.056,8.84,54.61,22.35
2.823,2.42,40.29,54.0
2.694,9.56,30.33,1.68
2.182,3.12,48.51,26.04
0.655,54.62,31.81,14.4
1.958,23.43,35.67,35.4
1.06,35.2,45.48,43.53
0.404,36.3,59.93,23.17
1.312,36.08,44.13,11.56
0.087,57.01,35.87,44.11
0.455,0.92,23.18,50.12
2.032,54.72,46.8,19.21
2.991,44.7,35.65,56.17
2.11,56.08,43.48,48.03
1.371,42.38,45.94,13.73
1.119,19.31,26.23,50.29
0.892,0.31,26.33,9.49
2.878,21.48,18.29,34.71
2.57,45.45,41.69,44.17
1.75,58.31,17.23,0.17
1.773,58.3,8.55,13.13
2.413,20.73,53.14,56.01
0.646,27.81,9.55,6.12
2.134,38.25,58.81,26.0
0.382,25.07,29.06,7.96
2.545,8.47,32.35,55.15
1.076,42.26,22.09,4.5
2.293,40.4,8.12,57.44
0.128,58.99,59.6,28.67
0.186,10.05,3.03,43.01
1.844,4.72,0.98,13.07
2.068,12.71,44.27,7.68
1.45,23.97,36.59,9.32
1.111,54.06,52.18,46.13
1.035,22.16,18.48,24.75
0.209,48.5,23.45,38.21
1.537,29.68,51.48,23.09
2.728,19.31,7.87,59.22
1.924,29.9,8.29,25.94
2.645,47.65,34.04,12.05
0.412,28.13,9.5,25.53
1.912,26.27,12.31,42.9
0.093,19.39,45.38,52.15
1.011,10.69,11.01,7.14
2.742,27.07,1.42,29.08
1.783,21.83,19.04,15.82
0.19,10.24,56.02,50.31
0.636,56.15,40.57,15.52
2.705,17.65,28.12,0.43
0.334,24.37,47.35,26.39
1.491,2.59,28.11,51.93
2.31,53.77,46.65,35.97
2.395,51.85,51.32,58.76
0.745,27.87,1.07,44.37
1.347,16.77,11.57,52.8
1.764,10.36,36.02,48.43
0.64,32.43,16.92,23.22
2.197,51.94,21.18,53.2
2.174,25.85,26.26,19.42
1.248,45.3,1.4,57.18
1.59,51.16,31.25,5.0
2.082,39.94,29.33,57.47
0.878,3.83,11.41,21.3
2.179,1.77,13.69,16.4
0.904,0.03,33.08,51.29
2.15,13.52,29.27,52.68
2.2,32.77,35.33,43.68
2.128,25.74,15.94,56.53
1.32,47.3,18.8,50.53
2.68,39.02,51.87,4.79
2.564,9.99,37.4,15.81
0.708,28.16,1.64,39.33
1.674,30.13,47.09,46.85
0.49,28.03,58.71,29.56
0.7,10.37,52.15,31.34
0.765,30.79,17.36,38.12
2.452,33.89,53.1,45.26
0.355,40.07,52.12,40.37
0.24,15.78,47.89,42.86
1.861,39.03,57.05,24.71
2.284,56.72,35.9,51.72
0.717,34.63,51.07,13.25
0.098,46.68,6.64,1.14
2.522,38.53,48.94,55.59
1.704,46.07,57.15,7.19
1.455,30.31,28.71,33.42
0.388,5.23,33.48,40.25
2.681,35.06,30.1,2.82
2.829,0.98,48.51,3.78
0.085,18.47,8.63,58.09
0.218,21.22,50.38,6.2
0.106,28.15,21.5,17.22
2.545,46.85,25.54,7.89
1.876,23.3,51.58,14.34
0.633,4.01,28.31,41.64
2.948,7.83,10.41,32.16
1.537,44.64,38.16,39.21
0.178,22.57,1.47,31.78
0.92,8.8,34.14,51.44
0.338,31.39,34.19,4.95
2.489,21.81,5.17,30.7
1.628,20.45,0.9,2.87
2.042,43.66,17.84,13.96
1.304,52.69,17.43,33.9
2.053,27.11,25.02,46.19
2.9,21.38,28.27,38.7
0.347,54.45,46.77,26.55
2.459,5.49,58.26,24.2
1.173,59.48,4.7,30.81
0.251,1.49,16.24,59.52
1.893,3.99,30.07,20.45
2.857,5.2,0.88,55.27
0.129,13.89,6.81,0.46
0.3,6.75,0.5,11.39
1.858,41.76,38.79,11.8
0.472,22.13,25.9,10.44
2.426,35.96,40.34,22.14
1.155,13.55,13.72,45.7
2.933,30.84,30.97,19.57
2.036,44.72,52.6,31.78
0.635,16.27,48.74,5.01
1.262,48.96,46.07,16.35
1.727,20.37,22.23,13.82
2.639,32.04,48.01,19.48
1.088,54.26,4.06,11.45
0.308,46.15,52.53,7.51
1.277,22.49,26.05,35.2
1.35,58.08,30.2,30.09
0.584,27.67,58.21,30.36
0.704,26.76,34.37,13.93
1.618,16.97,53.7,36.74
2.568,2.1,54.44,38.69
1.38,7.6,4.8,15.4
1.145,32.44,50.45,52.16
2.502,44.65,49.19,53.68
0.489,41.31,0.97,17.21
0.837,34.0,17.05,53.69
2.141,19.36,31.13,26.46
1.676,9.58,37.76,52.02
0.441,33.6,17.29,39.82
0.856,50.78,37.68,54.69
1.559,5.65,14.36,18.35
2.567,49.84,9.57,55.53
1.37,9.5,19.03,57.64
1.323,17.31,27.94,36.0
1.524,33.56,11.34,46.79
1.001,37.78,26.62,58.01
2.684,57.9,16.15,59.61
1.163,8.45,31.98,40.54
2.76,39.35,47.71,7.13
1.607,17.15,8.93,37.43
2.489,18.33,55.65,31.66
2.117,59.39,31.93,55.53
0.929,32.98,26.5,53.44
1.012,32.35,48.09,23.79
0.375,44.49,59.47,51.23
2.504,19.16,28.74,52.58
0.07,0.87,25.24,54.96
0.763,31.33,46.55,55.03
0.65,58.7,27.59,58.11
1.62,48.57,3.91,30.23
1.92,26.62,24.53,13.36
0.099,4.78,0.59,1.14
2.116,4.51,39.83,38.44
1.928,4.12,17.83,38.92
2.499,57.33,46.83,15.31
2.743,52.96,16.98,48.67
2.009,19.08,8.54,45.49
1.644,49.32,45.36,26.7
0.341,5.31,47.06,36.42
0.527,34.19,46.27,38.81
1.454,19.02,56.51,55.93
1.663,22.6,49.28,19.74
1.933,47.95,18.91,47.88
1.975,2.77,4.86,0.23
0.169,41.0,46.89,9.42
1.691,7.89,23.83,31.93
1.15,37.15,45.0,29.39
0.529,34.87,30.4,54.25
2.03,21.25,18.47,41.38
2.527,2.65,35.74,28.62
2.819,51.17,32.23,8.37
2.582,7.85,8.86,18.39
2.823,11.99,13.0,12.32
2.538,55.04,52.23,40.32
0.094,33.09,40.5,23.03
2.435,23.03,54.9,48.63
2.798,52.02,15.62,12.21
1.281,2.56,48.69,47.93
1.712,46.41,18.52,12.15
0.909,1.75,13.53,0.18
0.734,50.55,32.55,50.93
0.678,5.02,38.26,39.79
1.561,21.02,49.99,22.95
0.086,44.32,27.41,30.71
2.757,16.2,38.19,10.14
1.976,35.26,55.6,58.77
1.043,59.25,36.78,14.9
0.202,37.96,51.76,30.12
0.589,44.54,52.24,43.89
0.028,7.43,20.63,21.6
1.562,18.89,21.91,34.92
2.502,58.72,48.29,59.15
0.972,8.51,21.99,51.44
2.777,59.62,26.85,39.0
2.134,43.67,35.26,58.85
2.876,41.22,29.54,1.95
1.71,28.43,6.87,5.99
0.447,59.19,23.27,51.9
1.161,59.5,40.48,44.26
0.354,55.92,33.64,11.99
1.959,58.1,54.99,48.14
0.363,32.71,10.83,28.1
2.183,46.61,56.98,36.32
0.825,34.42,9.21,32.54
2.039,29.43,15.65,40.38
1.884,0.49,42.91,20.28
2.737,35.68,54.8,10.06
1.04,33.72,2.89,30.11
2.047,1.73,53.55,11.86
2.506,6.36,8.58,40.58
2.054,38.31,23.56,46.16
2.252,8.59,36.96,42.89
2.758,40.81,23.3,59.49
2.998,6.82,46.64,27.51
1.91,26.52,45.76,38.0
2.32,47.99,5.98,40.96
0.649,19.46,1.32,16.01
2.457,6.25,55.71,36.09
0.802,21.24,8.97,20.11
0.173,5.58,51.95,44.22
1.584,22.67,32.02,9.92
0.003,26.61,7.2,47.31
1.21,48.12,43.89,34.11
0.136,22.62,24.04,54.22
0.129,7.08,44.41,40.96
1.79,40.64,51.41,19.29
2.709,18.31,59.15,54.64
0.983,45.42,14.04,52.04
2.84,21.68,35.59,26.34
2.011,10.57,5.12,26.8
0.617,52.55,19.27,17.27
1.741,43.48,39.87,4.04
2.614,16.84,4.75,45.96
0.601,23.94,53.46,39.93
1.974,25.59,19.73,26.39
1.717,39.86,7.48,3.7
0.13,28.73,47.19,40.69
0.368,25.22,23.91,52.71
2.281,42.2,27.37,55.88
0.731,54.58,53.02,40.8
1.548,7.23,26.46,54.41
0.628,45.5,23.26,1.37
1.077,41.46,24.72,52.34
2.302,21.31,38.33,27.57
1.51,14.73,15.11,21.13
2.705,5.66,52.61,33.81
2.819,22.27,39.48,19.47
0.649,35.94,0.11,11.57
0.861,35.81,15.52,59.52
1.959,52.42,8.51,35.06
2.852,7.18,7.21,13.36
1.829,48.35,48.19,29.97
1.856,26.88,22.58,17.03
0.188,49.24,56.65,14.84
1.521,47.12,53.18,8.4
2.703,42.81,1.21,18.55
0.646,17.62,30.02,14.7
2.626,14.03,10.71,24.26
0.407,15.28,21.83,22.1
0.515,22.73,49.94,32.26
2.871,1.46,37.16,21.13
1.88,51.8,59.71,57.58
2.135,59.17,12.6,28.88
0.841,53.59,8.66,10.63
2.022,1.72,13.75,29.25
2.639,1.13,38.14,19.36
0.606,6.41,56.78,29.28
1.437,48.6,20.14,7.96
2.496,12.86,54.63,22.81
0.676,34.52,13.67,10.27
2.826,41.84,5.96,22.74
1.494,34.8,31.92,37.83
0.576,24.73,1.0,28.26
1.003,11.39,24.85,19.12
1.349,0.63,51.46,29.63
1.061,52.67,29.2,11.27
1.24,17.68,2.48,59.16
1.63,27.61,55.19,21.81
2.349,5.91,3.09,40.17
1.091,47.55,27.63,54.95
1.643,26.34,49.47,16.73
1.657,6.91,13.5,8.43
0.317,24.35,25.34,7.31
2.419,12.98,19.53,53.57
1.972,38.58,30.39,42.89
0.515,6.73,36.45,13.14
0.973,18.25,4.59,6.58
1.728,45.09,3.31,47.01
1.961,9.88,5.93,25.75
1.622,24.79,23.41,58.26
1.327,9.69,0.87,19.27
1.194,15.69,52.77,33.02
1.761,6.92,10.16,3.56
2.029,37.29,56.02,50.46
1.769,15.09,42.11,19.59
2.955,55.47,26.41,40.47
0.585,30.35,40.94,22.47
1.247,40.66,38.45,39.75
0.899,50.48,4.67,4.82
1.612,31.15,20.27,45.76
0.085,25.02,18.07,40.94
2.5,23.88,23.8,32.44
0.832,27.23,39.73,43.67
2.282,22.78,42.23,49.39
1.049,43.35,20.67,40.27
0.978,51.27,20.7,18.0
2.232,26.05,40.12,53.87
0.467,32.3,8.69,44.99
2.614,52.68,18.55,57.17
2.828,46.46,14.2,14.38
1.024,8.25,9.99,32.51
1.748,35.6,23.69,13.22
0.93,22.33,51.6,3.88
1.173,57.15,33.08,31.66
0.447,7.33,14.37,48.57
2.132,41.6,38.51,34.91
1.493,54.04,48.65,59.6
0.223,38.43,28.42,50.02
2.847,42.2,41.98,57.15
2.563,50.97,0.63,50.16
1.767,0.95,26.23,51.48
0.511,58.74,35.89,38.47
1.109,13.74,19.41,32.36
1.788,3.89,51.34,45.68
2.984,45.59,25.68,3.51
0.601,56.41,17.02,13.5
0.799,33.26,35.66,14.17
0.475,39.4,46.0,53.75
1.877,56.11,47.06,6.81
0.217,23.58,45.51,30.58
0.953,12.7,56.25,49.76
1.642,59.73,30.44,30.39
0.048,39.83,46.58,34.33
2.239,13.83,18.08,41.06
0.303,18.96,41.73,48.65
2.997,1.91,16.63,24.81
2.22,45.78,42.48,31.12
0.382,41.84,4.11,56.26
1.482,39.89,13.87,26.73
2.642,52.83,12.82,34.14
2.049,40.28,38.07,48.77
2.107,6.57,33.69,10.57
2.317,7.79,54.97,48.96
1.699,0.46,0.22,45.59
2.942,46.38,33.93,54.89
2.698,37.41,57.3,12.21
2.263,54.85,31.7,17.72
1.548,54.76,5.17,4.55
2.864,32.04,45.44,50.8
2.399,37.58,53.41,36.72
1.363,23.84,21.98,8.94
0.467,9.67,7.7,10.18
2.812,19.6,4.39,31.36
2.056,11.07,15.18,44.5
2.725,25.11,55.87,7.14
0.183,43.15,21.76,4.09
1.283,4.43,39.06,51.26
0.116,38.61,43.67,9.38
1.148,46.02,11.65,20.24
2.578,32.45,48.81,42.84
0.873,11.87,10.63,10.93
0.311,3.04,42.16,59.2
1.415,6.89,58.24,19.29
2.686,26.16,11.42,28.9
0.183,32.12,33.83,4.85
1.793,23.63,15.92,1.49
0.523,5.62,43.97,27.99
0.359,55.09,43.49,35.31
0.228,52.0,1.15,0.43
2.533,22.58,33.4,11.92
1.956,43.98,49.13,36.97
2.108,51.68,57.39,26.21
1.786,14.53,8.74,0.6
2.653,5.7,24.94,35.16
2.509,48.6,24.12,13.77
0.78,25.26,47.8,38.88
2.49,27.87,29.8,30.78
0.121,29.22,48.92,41.8
0.13,47.57,50.79,22.63
1.92,41.03,20.47,31.76
0.026,8.27,20.7,6.52
1.0,26.66,42.1,22.01
1.416,58.62,8.92,42.25
2.673,10.48,21.93,1.76
0.526,32.42,3.84,56.57
0.386,19.94,42.67,16.42
1.904,10.76,53.98,13.19
1.731,53.46,25.39,10.97
2.492,48.02,57.1,33.27
1.132,36.98,30.18,20.61
1.436,43.16,31.05,41.9
2.884,55.98,33.82,7.59
1.999,4.59,54.07,52.56
0.084,38.1,40.61,7.51
2.492,29.54,43.75,38.69
2.126,16.63,52.18,0.26
2.52,17.69,32.65,34.98
0.034,17.06,40.06,5.07
1.258,29.66,15.0,11.68
1.958,31.5,7.73,44.19
2.846,2.45,48.84,25.72
2.217,18.73,26.72,15.22
0.624,26.06,3.41,55.6
1.657,26.72,6.6,15.91
1.892,42.86,19.97,41.25
2.417,59.43,21.77,27.5
1.551,10.19,52.67,21.51
0.398,54.53,2.18,36.52
0.521,22.44,22.32,17.28
1.032,26.69,51.71,17.67
2.191,25.08,6.37,50.6
0.694,40.35,8.42,14.81
0.883,26.04,56.63,31.53
0.543,15.16,11.44,53.13
2.382,13.62,44.68,58.45
1.593,57.0,54.47,3.17
0.347,33.42,27.57,34.65
2.471,23.14,39.39,18.8
0.532,33.06,52.18,3.94
0.533,2.88,38.49,35.85
0.466,50.73,4.97,3.22
1.917,48.62,54.71,53.66
2.296,29.56,52.46,16.91
1.446,47.1,14.75,13.15
1.433,32.11,9.82,50.04
2.078,34.39,24.69,11.88
0.181,25.73,36.72,32.18
0.416,13.52,14.68,49.2
2.853,52.02,48.45,42.7
2.496,28.75,37.6,1.76
0.008,27.98,52.85,1.72
2.063,6.8,16.32,36.47
2.481,9.55,14.54,31.46
1.967,20.96,21.48,39.11
1.442,28.28,29.03,46.85
1.995,40.29,22.97,52.06
2.712,7.69,33.75,47.94
0.137,52.35,33.28,27.1
2.026,14.07,20.0,23.12
1.33,22.7,41.48,19.63
1.933,44.21,55.09,55.88
1.144,52.41,33.01,18.69
1.843,51.68,13.13,22.39
0.507,18.2,59.54,54.9
2.205,40.91,59.2,0.8
2.658,5.86,18.32,41.31
2.606,57.16,10.15,13.82
0.936,10.89,20.02,27.32
2.972,45.73,44.38,29.94
1.114,47.66,28.93,57.99
2.824,10.19,24.15,51.88
1.312,42.2,48.1,53.12
2.965,27.09,52.0,21.25
2.17,24.06,11.44,58.02
0.176,25.2,39.01,58.15
2.791,59.84,17.36,34.1
1.282,27.91,13.46,23.53
1.574,2.35,22.89,51.15
0.896,19.98,5.36,17.78
2.379,3.93,39.03,59.83
1.654,55.85,47.12,47.62
2.337,12.39,56.69,4.67
0.765,26.55,29.26,11.31
2.97,3.47,46.0,51.16
1.517,6.81,36.85,7.93
0.819,6.58,1.57,45.62
1.245,11.22,24.11,10.66
2.685,32.98,27.18,37.83
